date,open,high,low,close,volume
2018-05-28,27500,27600,26950,27000,351817
2018-05-29,27000,27100,26850,26900,233730
2018-05-30,26800,27250,26500,26800,443841
2018-05-31,26800,27150,26700,26850,731383
2018-06-01,26800,27150,26800,27000,226810
2018-06-04,27000,27000,26500,26950,307710
2018-06-05,27150,27750,26850,27300,911917
2018-06-07,27250,27650,27100,27400,468991
2018-06-08,27400,28300,27250,28100,468387
2018-06-11,28100,28300,27800,28100,331057
2018-06-12,28200,29000,28100,28850,594301
2018-06-14,28600,29100,28400,28650,805329
2018-06-15,28750,28900,28250,28600,597856
2018-06-18,28800,29100,28550,28800,539384
2018-06-19,28600,29050,28500,28950,611973
2018-06-20,29150,29200,28450,28450,479934
2018-06-21,28200,28450,27100,27300,620613
2018-06-22,26800,27650,26800,27650,395780
2018-06-25,27450,27650,26850,27550,373702
2018-06-26,27450,27450,26950,27050,356013
2018-06-27,26950,27200,26600,26650,538508
2018-06-28,26400,26500,25800,25950,707299
2018-06-29,26100,26350,25800,26150,333620
2018-07-02,26100,26100,25800,25850,281398
2018-07-03,26000,26000,25400,25700,265349
2018-07-04,25700,25900,25550,25750,176357
2018-07-05,25850,25950,25300,25400,246716
2018-07-06,25350,25750,25350,25500,295947
2018-07-09,25400,25950,25400,25850,253956
2018-07-10,25850,26300,25850,25950,264426
2018-07-11,25850,26300,25750,25900,424552
2018-07-12,26050,26300,25850,25900,412110
2018-07-13,25950,26250,25850,25850,211951
2018-07-16,25800,26000,25550,26000,156062
2018-07-17,26000,26600,26000,26350,255930
2018-07-18,26450,27200,26450,27000,521705
2018-07-19,27100,27300,26600,26700,258219
2018-07-20,26750,26950,26500,26800,208192
2018-07-23,26800,27000,26250,26700,279917
2018-07-24,26850,26850,26200,26400,244901
2018-07-25,26500,26750,26300,26600,213824
2018-07-26,26650,26800,26450,26550,257615
2018-07-27,26550,26600,26150,26400,306778
2018-07-30,26150,26550,25600,26350,551840
2018-07-31,26150,26450,26000,26000,294474
2018-08-01,26000,26400,25800,25900,377533
2018-08-02,25950,26000,25700,25800,285498
2018-08-03,25900,26000,25650,25800,312210
2018-08-06,25850,26150,25750,26000,300034
2018-08-07,25800,26200,25800,26150,230538
2018-08-08,26000,26200,25950,26000,237917
2018-08-09,26000,26800,25850,26800,502254
2018-08-10,27100,29100,27100,28900,2206212
2018-08-13,28850,29100,28400,28950,654884
2018-08-14,29300,29800,28700,29550,848378
